,Code,Close_ratio
706,15360,-57.21891261
707,900140,3.310964433
708,67290,-59.43357191
709,3920,33.86777778
710,27050,-81.34034269
711,104700,23.95332105
712,37070,-33.18294753
713,263690,-122.3036202
714,251970,-21.54533866
715,67900,-22.34461111
716,214420,-115.6003217
717,298690,
718,6490,-5.980664016
719,31440,9.651873746
720,89010,5.251174148
721,229640,-18.2941259
722,32850,-101.5458201
723,7690,24.38882593
724,49950,-29.34334988
725,16250,-148.1360319
726,80160,29.72667088
727,144960,-28.51608346
728,970,-53.58033589
729,234690,-66.63825487
730,4360,-22.13608609
731,5960,-8.075056462
732,3350,-111.5260808
733,95190,-55.94122202
734,18120,-58.95817906
735,91590,-141.1351776
736,14620,-25.41845871
737,60590,-78.08765326
738,21050,-157.505998
739,9520,9.3071464
740,123860,-26.07701664
741,70960,-18.64252492
742,79940,-49.74317773
743,155650,-104.3083671
744,23160,-16.13850918
745,264450,-37.49696484
746,104480,51.4457797
747,37270,12.08491885
748,290670,-31.71009954
749,42520,-105.2953392
750,1270,-27.25049818
751,430,-27.74657767
752,80420,-2.053921621
753,49070,36.52455543
754,126880,-105.5221874
755,289080,-45.21949843
756,3580,51.51508977
757,58400,-20.55020218
758,63080,-29.75164844
759,302430,-95.24429793
760,71055,34.09982066
761,256630,-44.36768687
762,83550,-193.4207672
763,72520,4.24951208
764,53300,-28.0604401
765,136540,-51.52376125
766,61040,-18.88024486
767,228850,-38.56275132
768,97955,-15.04907231
769,44450,-9.730502058
770,4310,-38.92964299
771,43610,20.70476952
772,302550,-93.79524818
773,51500,21.13263821
774,36200,27.23914012
775,225530,-19.05340917
776,50110,-91.61918709
777,9580,13.47326027
778,54620,1.666687295
779,130580,-90.29675108
780,241790,-75.85860774
781,92230,-3.260697471
782,1790,1.860280393
783,67990,-26.53738965
784,950110,-56.7062757
785,13030,-27.22930775
786,36890,-4.341950617
787,23910,-48.65456292
788,238090,
789,290720,-70.71726539
790,83450,-20.78064629
791,15590,-114.8624343
792,67280,-33.05374633
793,311690,-126.3042463
794,11760,-14.52032556
795,37460,-30.88188928
796,109960,-77.82066829
797,7110,-60.54910161
798,47400,-80.74493612
799,267850,
800,123040,-18.34515936
801,74430,-4.901693925
802,84010,47.95175069
803,91090,-108.21904
804,36030,28.34280731
805,86890,44.43428008
806,139670,-22.23892035
807,7540,-78.75603508
808,226330,-35.65177529
809,122450,52.0601075
810,54050,-39.50279713
811,45100,7.193216636
812,65450,-48.9778317
813,16450,24.48400105
814,65950,-110.3609454
815,1390,44.97254676
816,102260,5.159996676
817,72020,-54.87960852
818,9155,3.958212485
819,3570,18.71748687
820,78150,-21.17129749
821,12700,-12.72386823
822,71200,-46.04199074
823,680,30.95017974
824,67170,-47.29833404
825,203650,-5.23753265
826,18000,39.86175146
827,33626K,-30.30206396
828,2795,-81.27079239
829,44820,-53.69772553
830,255440,-22.05329297
831,54670,-79.46012726
832,214180,-20.26080106
833,33160,17.62977368
834,1530,40.86031836
835,1570,-6.507314724
836,1540,-52.71770905
837,237820,-123.496355
838,8060,-0.347269419
839,7820,-84.46075777
840,36630,33.62284362
841,215360,-30.52291676
842,317400,31.3466994
843,99320,42.48389657
844,168490,-75.48386061
845,28100,-10.8614732
846,60900,7.262540639
847,82740,26.57018161
848,256840,30.8508855
849,53980,-106.4671362
850,2170,-20.11770975
851,7860,33.19233261
852,208340,-67.50907981
853,58110,-7.124052539
854,700,-50.17139537
855,203690,-57.06048143
856,200780,-82.50442722
857,41920,-124.4487542
858,92070,-1.567962598
859,282690,-55.24475332
860,49960,-44.64387521
861,86980,5.186778176
862,85370,26.75826817
863,106240,27.57884877
864,950170,-40.95565644
865,3555,-23.80161493
866,27360,65.38816044
867,36120,-91.37522085
868,142760,-35.07143545
869,51160,21.74353704
870,4970,-25.78089325
871,9160,21.43690894
872,159580,4.880204413
873,23760,14.26819509
874,68930,-5.435879359
875,30960,-27.47584408
876,77360,11.10255927
877,36190,-30.92457308
878,101160,33.79666786
879,195990,20.76340043
880,2030,5.176567521
881,100590,-78.07310569
882,64290,3.962401355
883,171120,-27.89534868
884,4980,10.52274196
885,214430,-86.85498024
886,37950,-104.2276798
887,12790,-29.83232572
888,160550,4.129282663
889,33920,-1.956854078
890,101140,-54.15912435
891,90850,5.796043965
892,31980,7.63117037
893,10955,-7.019844118
894,17180,-33.2448593
895,11320,-67.23090677
896,83310,10.79451511
897,126340,-22.49779174
898,02826K,-21.11762963
899,27740,-70.62936269
900,138690,-147.950346
901,61250,2.138334559
902,102120,4.609279461
903,91810,42.40705359
904,155,1.362109228
905,96240,0.36026494
906,47820,34.57881754
907,490,7.660874265
908,3200,0.149658842
909,34940,-83.43028862
910,19210,9.029045133
911,122310,-63.16735202
912,7660,-48.30615618
913,217270,67.58799942
914,65650,-70.730152
915,66310,-87.13868388
916,540,17.20709864
917,90360,6.05216431
918,5680,10.38024832
919,260930,-42.84439392
920,48550,19.92479087
921,90350,3.820009117
922,65170,-72.51643043
923,215,-216.2565857
924,15890,-27.83579988
925,42370,9.580575461
926,99220,-60.46990568
927,263700,-40.79002151
928,2700,-72.86908459
929,160980,-6.805091288
930,5945,-17.46342328
931,24950,-35.45923779
932,299900,50.90214655
933,138490,19.45329671
934,5090,67.5827549
935,126700,6.642723582
936,67310,51.37516128
937,4890,0.898445528
938,3030,21.69851949
939,90740,-172.6659598
940,86040,-44.87312763
941,12030,-15.50676918
942,77970,28.51210341
943,151860,68.74302324
944,52330,-41.5587027
945,2720,-60.46778654
946,53950,-99.39727884
947,100700,-0.049226677
948,281740,15.43913271
949,306200,23.65892214
950,5160,-9.788133624
951,11150,-43.06440438
952,41910,-61.65654321
953,108490,-32.80874257
954,54800,-61.14978289
955,13580,25.15410079
956,109740,-44.44527755
957,1250,4.572363548
958,94480,18.0031746
959,297090,8.60485188
960,11390,-50.48754568
961,143210,-66.90030968
962,30210,49.29014026
963,16610,22.66305504
964,35080,47.16967739
965,4540,5.101743896
966,21320,-5.139736155
