종목코드,종목명,시가총액
2880,대유에이텍,"159,798,775,680"
290120,대유에이피,"92,520,570,500"
300,대유플러스,"200,255,424,680"
120240,대정화금,"197,376,232,950"
3310,대주산업,"102,106,929,750"
114920,대주이엔티,"3,937,882,500"
78600,대주전자재료,"741,684,440,800"
12800,대창,"231,496,867,460"
15230,대창단조,"132,003,702,600"
96350,대창솔루션,"119,709,297,579"
140520,대창스틸,"75,782,182,370"
131220,대한과학,"102,871,962,000"
10170,대한광통신,"282,799,131,875"
60900,대한그린파워,"307,142,230,135"
54670,대한뉴팜,"162,928,342,000"
1070,대한방직,"234,790,000,000"
23910,대한약품,"208,200,000,000"
6650,대한유화,"1,547,000,000,000"
1440,대한전선,"2,629,372,137,630"
84010,대한제강,"582,895,259,100"
1790,대한제당,"317,525,893,200"
1795,대한제당우,"28,783,454,400"
1130,대한제분,"305,045,000,000"
3490,대한항공,"10,956,355,987,500"
3495,대한항공우,"47,042,125,900"
5880,대한해운,"1,126,696,433,800"
3830,대한화섬,"222,440,000,000"
16090,대현,"140,374,922,700"
69460,대호에이엘,"151,862,764,795"
21040,대호특수강,"68,872,282,092"
21045,대호특수강우,"7,021,281,230"
67080,대화제약,"247,601,445,000"
298540,더네이쳐홀딩스,"539,606,737,600"
192080,더블유게임즈,"1,095,120,319,200"
299170,더블유에스아이,"94,584,810,305"
12510,더존비즈온,"2,518,274,863,000"
302920,더콘텐츠온,"32,776,984,800"
213420,덕산네오룩스,"1,368,570,684,000"
317330,덕산테코피아,"441,977,143,400"
77360,덕산하이메탈,"305,563,838,450"
4830,덕성,"359,856,000,000"
4835,덕성우,"50,668,800,000"
90410,덕신하우징,"109,449,725,625"
24900,덕양산업,"140,029,414,000"
263600,덕우전자,"134,611,119,500"
194480,데브시스터즈,"1,048,805,344,000"
348840,데이드림엔터,"10,910,375,000"
263800,데이타솔루션,"115,719,127,600"
199150,데이터스트림즈,"41,897,730,000"
206560,덱스터,"223,063,596,800"
261200,덴티스,"209,562,038,000"
145720,덴티움,"718,367,067,000"
227420,도부마스크,"49,539,717,250"
67990,도이치모터스,"246,172,996,860"
2150,도화엔지니어링,"317,979,600,000"
6620,동구바이오제약,"272,694,623,360"
100130,동국S&C,"338,286,560,000"
5160,동국산업,"221,317,486,560"
75970,동국알앤에스,"106,352,000,000"
1230,동국제강,"2,118,606,761,400"
86450,동국제약,"1,253,772,000,000"
23450,동남합성,"195,662,000,000"
4140,동방,"259,816,479,000"
99410,동방선기,"42,383,336,260"
7590,동방아그로,"119,153,798,750"
5960,동부건설,"322,713,431,600"
5965,동부건설우,"14,108,250,000"
26960,동서,"3,040,850,000,000"
2210,동성제약,"267,534,942,500"
102260,동성케미컬,"314,535,978,240"
33500,동성화인텍,"366,940,193,250"
25950,동신건설,"464,520,000,000"
640,동아쏘시오홀딩스,"768,873,019,500"
170900,동아에스티,"726,172,648,000"
88130,동아엘텍,"139,151,340,900"
28100,동아지질,"257,025,000,000"
282690,동아타이어,"177,842,544,250"
41930,동아화성,"233,050,000,000"
1520,동양,"532,265,460,490"
1527,동양2우B,"7,405,656,000"
1529,동양3우B,"6,011,374,000"
84670,동양고속,"72,678,781,900"
82640,동양생명,"905,221,661,850"
60380,동양에스텍,"87,665,000,000"
1525,동양우,"7,134,793,050"
79960,동양이엔피,"137,550,000,000"
8970,동양철관,"202,699,419,450"
228340,동양파일,"131,400,000,000"
92780,동양피스톤,"81,117,713,600"
88910,동우팜투테이블,"94,156,779,780"
94170,동운아나텍,"126,558,043,200"
49770,동원F&B,"879,880,272,000"
13120,동원개발,"562,102,139,000"
18500,동원금속,"51,664,200,965"
6040,동원산업,"967,219,583,000"
30720,동원수산,"44,769,604,100"
14820,동원시스템즈,"1,147,709,292,800"
14825,동원시스템즈우,"9,990,728,700"
163560,동일고무벨트,"139,000,000,000"
109860,동일금속,"104,650,000,000"
32960,동일기연,"62,183,308,750"
4890,동일산업,"248,584,537,500"
2690,동일제강,"72,900,000,000"
23790,동일철강,"54,427,079,850"
5290,동진쎄미켐,"1,473,025,253,100"
25900,동화기업,"1,494,887,098,000"
20,동화약품,"437,127,505,500"
150,두산,"1,581,331,009,500"
157,두산2우B,"110,736,712,000"
241560,두산밥캣,"4,811,959,968,000"
155,두산우,"259,370,383,800"
42670,두산인프라코어,"3,340,774,397,000"
34020,두산중공업,"10,076,228,112,150"
336260,두산퓨얼셀,"3,274,686,300,000"
33626K,두산퓨얼셀1우,"225,186,770,000"
33626L,두산퓨얼셀2우B,"67,191,750,000"
16740,두올,"144,189,066,600"
