날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 11월 22일,4.3965,4.4035,4.423,4.352,48.40K,-0.25%
2021년 11월 19일,4.4075,4.3035,4.419,4.2915,64.41K,2.39%
2021년 11월 18일,4.3045,4.207,4.3235,4.2065,69.54K,0.90%
2021년 11월 17일,4.266,4.344,4.3605,4.1915,75.47K,-1.96%
2021년 11월 16일,4.3515,4.4115,4.4425,4.323,67.48K,-1.10%
2021년 11월 15일,4.4,4.455,4.489,4.391,58.38K,-1.11%
2021년 11월 12일,4.4495,4.403,4.459,4.374,48.08K,1.14%
2021년 11월 11일,4.3995,4.3045,4.432,4.3005,72.51K,1.77%
2021년 11월 10일,4.323,4.374,4.414,4.285,71.75K,-1.14%
2021년 11월 09일,4.373,4.399,4.4475,4.3375,68.14K,-0.59%
2021년 11월 08일,4.399,4.36,4.4145,4.33,63.10K,1.29%
2021년 11월 05일,4.343,4.326,4.3735,4.282,68.68K,0.52%
2021년 11월 04일,4.3205,4.352,4.404,4.278,71.37K,-0.01%
2021년 11월 03일,4.321,4.37,4.4505,4.28,76.59K,-1.03%
2021년 11월 02일,4.366,4.39,4.433,4.333,53.96K,-0.63%
2021년 11월 01일,4.3935,4.3775,4.403,4.3285,50.44K,0.58%
2021년 10월 29일,4.368,4.4345,4.453,4.334,69.26K,-1.59%
2021년 10월 28일,4.4385,4.3885,4.4635,4.3525,67.88K,1.12%
2021년 10월 27일,4.3895,4.4955,4.51,4.363,71.05K,-2.15%
2021년 10월 26일,4.486,4.53,4.5545,4.472,58.89K,-0.93%
2021년 10월 25일,4.528,4.514,4.5685,4.5015,54.92K,0.67%
2021년 10월 22일,4.498,4.5625,4.619,4.461,88.78K,-1.33%
2021년 10월 21일,4.5585,4.7335,4.7575,4.537,82.45K,-3.72%
2021년 10월 20일,4.7345,4.6875,4.749,4.5935,71.77K,0.67%
2021년 10월 19일,4.703,4.716,4.815,4.6685,73.56K,-0.48%
2021년 10월 18일,4.7255,4.7305,4.823,4.6855,76.63K,-0.08%
2021년 10월 15일,4.7295,4.6185,4.781,4.6035,95.10K,2.12%
2021년 10월 14일,4.6315,4.4905,4.6365,4.483,91.56K,2.56%
2021년 10월 13일,4.516,4.3225,4.528,4.305,104.41K,4.40%
2021년 10월 12일,4.3255,4.339,4.3955,4.2865,65.22K,-0.94%
2021년 10월 11일,4.3665,4.2795,4.385,4.2555,60.62K,2.13%
2021년 10월 08일,4.2755,4.2495,4.301,4.2225,51.72K,0.75%
2021년 10월 07일,4.2435,4.1755,4.26,4.1625,41.51K,2.31%
2021년 10월 06일,4.1475,4.182,4.2185,4.114,48.58K,-1.07%
2021년 10월 05일,4.1925,4.239,4.242,4.151,41.33K,-1.09%
2021년 10월 04일,4.2385,4.2145,4.303,4.1775,45.60K,1.19%
2021년 10월 01일,4.1885,4.1065,4.21,4.0585,51.97K,2.43%
2021년 09월 30일,4.089,4.1775,4.208,4.0545,72.32K,-2.62%
2021년 09월 29일,4.199,4.2485,4.2575,4.1665,47.16K,-1.12%
2021년 09월 28일,4.2465,4.2785,4.3015,4.231,52.87K,-1.00%
2021년 09월 27일,4.2895,4.2925,4.3175,4.255,48.97K,0.09%
2021년 09월 24일,4.2855,4.23,4.302,4.203,59.93K,1.29%
2021년 09월 23일,4.231,4.225,4.288,4.1945,48.89K,-0.49%
2021년 09월 22일,4.252,4.1125,4.2775,4.107,67.39K,3.05%
2021년 09월 21일,4.126,4.1245,4.179,4.016,72.57K,0.28%
2021년 09월 20일,4.1145,4.2395,4.246,4.094,64.93K,-3.10%
2021년 09월 17일,4.246,4.2815,4.359,4.231,54.03K,-0.83%
2021년 09월 16일,4.2815,4.402,4.412,4.256,58.66K,-2.84%
2021년 09월 15일,4.4065,4.3155,4.4225,4.2915,54.32K,1.98%
2021년 09월 14일,4.321,4.3675,4.3775,4.287,50.84K,-1.05%
2021년 09월 13일,4.367,4.426,4.4715,4.3315,69.98K,-1.91%
2021년 09월 10일,4.452,4.28,4.469,4.273,85.65K,3.89%
2021년 09월 09일,4.2855,4.2375,4.314,4.2155,42.61K,1.24%
2021년 09월 08일,4.233,4.275,4.2995,4.206,51.08K,-1.13%
2021년 09월 07일,4.2815,4.334,4.3465,4.255,57.32K,-1.17%
2021년 09월 06일,4.332,4.3325,4.3457,4.304,-,-0.01%
2021년 09월 05일,4.3325,4.335,4.3422,4.3315,-,-0.03%
2021년 09월 03일,4.334,4.2975,4.351,4.28,44.97K,0.70%
2021년 09월 02일,4.304,4.283,4.311,4.252,39.64K,0.61%
2021년 09월 01일,4.278,4.3655,4.373,4.256,52.79K,-2.22%
2021년 08월 31일,4.375,4.3785,4.3935,4.336,57.93K,-0.01%
2021년 08월 30일,4.3755,4.338,4.418,4.3305,41.88K,1.00%
2021년 08월 27일,4.332,4.2495,4.3415,4.2375,61.55K,1.70%
2021년 08월 26일,4.2595,4.278,4.2875,4.2305,42.57K,-0.39%
2021년 08월 25일,4.276,4.2575,4.3045,4.2415,36.18K,0.36%
2021년 08월 24일,4.2605,4.208,4.297,4.192,38.81K,0.94%
2021년 08월 23일,4.221,4.12,4.237,4.12,35.72K,2.38%
2021년 08월 20일,4.123,4.0495,4.1415,4.045,41.49K,1.97%
2021년 08월 19일,4.0435,4.117,4.1365,3.9665,53.51K,-1.86%
2021년 08월 18일,4.12,4.2235,4.249,4.1,37.85K,-2.01%
2021년 08월 17일,4.2045,4.3225,4.3375,4.2,39.78K,-2.71%
2021년 08월 16일,4.3215,4.359,4.3735,4.2985,29.09K,-1.37%
2021년 08월 13일,4.3815,4.3515,4.419,4.3415,23.28K,0.74%
2021년 08월 12일,4.3495,4.359,4.404,4.327,27.11K,-0.24%
2021년 08월 11일,4.36,4.3405,4.3695,4.31,25.29K,0.32%
2021년 08월 10일,4.346,4.2835,4.3635,4.276,27.14K,1.51%
2021년 08월 09일,4.2815,4.328,4.335,4.2365,33.45K,-1.33%
2021년 08월 06일,4.339,4.335,4.399,4.322,26.84K,0.14%
2021년 08월 05일,4.333,4.3225,4.346,4.297,12.29K,0.28%
2021년 08월 04일,4.321,4.3735,4.3895,4.309,14.60K,-1.22%
2021년 08월 03일,4.3745,4.418,4.4315,4.3315,17.63K,-0.93%
2021년 08월 02일,4.4155,4.477,4.498,4.394,11.50K,-0.90%
2021년 07월 30일,4.4555,4.495,4.528,4.4255,12.05K,-1.02%
2021년 07월 29일,4.5015,4.448,4.5135,4.4315,11.47K,1.03%
2021년 07월 28일,4.4555,4.5205,4.5395,4.402,14.95K,-1.10%
2021년 07월 27일,4.505,4.55,4.586,4.466,16.88K,-0.89%
2021년 07월 26일,4.5455,4.4365,4.5665,4.3905,23.94K,3.57%
2021년 07월 23일,4.389,4.331,4.4455,4.3295,17.61K,1.28%
2021년 07월 22일,4.3335,4.278,4.34,4.273,6.11K,1.51%
2021년 07월 21일,4.269,4.258,4.286,4.2245,3.96K,0.20%
2021년 07월 20일,4.2605,4.1985,4.2665,4.1955,4.90K,1.46%
2021년 07월 19일,4.199,4.2965,4.303,4.1655,6.27K,-2.79%
2021년 07월 16일,4.3195,4.309,4.34,4.3,3.87K,0.01%
2021년 07월 15일,4.319,4.2625,4.342,4.25,5.87K,1.28%
2021년 07월 14일,4.2645,4.2865,4.3025,4.2565,4.34K,-0.88%
2021년 07월 13일,4.3025,4.33,4.3375,4.2525,6.29K,-0.22%
2021년 07월 12일,4.312,4.3525,4.36,4.2785,4.98K,-0.71%
2021년 07월 09일,4.343,4.2725,4.3655,4.256,6.27K,1.89%
2021년 07월 08일,4.2625,4.3025,4.3175,4.23,7.19K,-1.30%
2021년 07월 07일,4.3185,4.2485,4.355,4.246,5.37K,1.68%
2021년 07월 06일,4.247,4.2755,4.396,4.2305,9.40K,-2.23%
2021년 07월 05일,4.344,4.3135,4.3575,4.309,-,1.67%
2021년 07월 02일,4.2725,4.237,4.2895,4.2235,4.58K,0.98%
2021년 07월 01일,4.231,4.2865,4.3065,4.2235,6.15K,-1.23%
2021년 06월 30일,4.2835,4.253,4.327,4.2465,9.82K,0.62%
2021년 06월 29일,4.257,4.2795,4.281,4.204,8.09K,-0.55%
2021년 06월 28일,4.2805,4.283,4.3085,4.253,2.72K,-0.23%
2021년 06월 25일,4.2905,4.305,4.3295,4.2685,3.92K,-0.38%
2021년 06월 24일,4.307,4.3125,4.32,4.254,4.08K,-0.44%
2021년 06월 23일,4.326,4.2265,4.3345,4.225,5.28K,2.52%
2021년 06월 22일,4.2195,4.1845,4.2505,4.176,4.57K,0.75%
2021년 06월 21일,4.188,4.136,4.194,4.11,4.26K,0.44%
2021년 06월 18일,4.1695,4.1935,4.2265,4.128,3.78K,-0.52%
2021년 06월 17일,4.1915,4.28,4.3505,4.1685,6.35K,-4.67%
2021년 06월 16일,4.397,4.3545,4.409,4.28,4.79K,1.15%
2021년 06월 15일,4.347,4.538,4.5475,4.33,6.49K,-4.23%
2021년 06월 14일,4.539,4.5695,4.583,4.515,1.97K,-0.25%
2021년 06월 11일,4.5505,4.5015,4.6,4.4905,2.42K,1.14%
2021년 06월 10일,4.499,4.537,4.543,4.4575,3.96K,-0.96%
2021년 06월 09일,4.5425,4.553,4.5625,4.5005,2.50K,-0.53%
2021년 06월 08일,4.5665,4.532,4.5705,4.475,4.46K,0.61%
2021년 06월 07일,4.539,4.539,4.5415,4.48,2.97K,0.00%
2021년 06월 04일,4.539,4.4795,4.549,4.4555,2.39K,1.42%
2021년 06월 03일,4.4755,4.6095,4.625,4.444,5.34K,-2.74%
2021년 06월 02일,4.6015,4.6575,4.6705,4.593,2.77K,-1.29%
