날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 06월 15일,"3,226.00","3,248.10","3,265.60","3,218.20",-,-0.90%
2021년 06월 14일,"3,255.30","3,213.60","3,255.60","3,200.00",-,1.41%
2021년 06월 11일,"3,210.10","3,198.90","3,210.30","3,186.30",-,0.43%
2021년 06월 10일,"3,196.20","3,165.20","3,205.80","3,156.80",-,1.19%
2021년 06월 09일,"3,158.50","3,183.40","3,190.70","3,157.80",-,-0.40%
2021년 06월 08일,"3,171.20","3,221.40","3,221.40","3,150.30",-,-0.64%
2021년 06월 07일,"3,191.70","3,199.10","3,205.30","3,172.50",-,-0.70%
2021년 06월 04일,"3,214.10","3,170.10","3,221.80","3,170.10",-,2.39%
2021년 06월 03일,"3,139.20","3,161.10","3,171.80","3,127.00",-,-1.81%
2021년 06월 02일,"3,197.00","3,167.70","3,206.80","3,163.80",-,0.71%
2021년 06월 01일,"3,174.30","3,210.10","3,233.90","3,160.40",-,-0.38%
2021년 05월 28일,"3,186.60","3,172.50","3,200.40","3,163.80",-,0.86%
2021년 05월 27일,"3,159.30","3,134.20","3,170.90","3,130.60",-,0.58%
2021년 05월 26일,"3,141.00","3,135.90","3,156.80","3,115.20",-,0.20%
2021년 05월 25일,"3,134.70","3,145.70","3,157.80","3,117.30",-,0.37%
2021년 05월 24일,"3,123.00","3,082.40","3,141.80","3,079.70",-,2.32%
2021년 05월 21일,"3,052.10","3,085.70","3,086.80","3,044.90",-,-0.46%
2021년 05월 20일,"3,066.10","3,010.80","3,078.30","3,010.00",-,2.64%
2021년 05월 19일,"2,987.30","2,864.40","2,989.80","2,862.70",-,1.98%
2021년 05월 18일,"2,929.10","2,977.90","2,985.90","2,927.30",-,-0.86%
2021년 05월 17일,"2,954.60","2,946.80","2,955.60","2,904.30",-,-0.90%
2021년 05월 14일,"2,981.40","2,932.00","3,006.10","2,907.40",-,3.02%
2021년 05월 13일,"2,893.90","2,899.80","2,934.40","2,862.90",-,1.50%
2021년 05월 12일,"2,851.10","2,906.40","2,926.90","2,842.30",-,-4.20%
2021년 05월 11일,"2,976.00","2,876.30","2,982.80","2,872.30",-,0.30%
2021년 05월 10일,"2,967.10","3,077.30","3,078.40","2,965.40",-,-4.66%
2021년 05월 07일,"3,112.00","3,103.90","3,129.90","3,085.70",-,1.49%
2021년 05월 06일,"3,066.20","3,032.60","3,068.50","3,002.70",-,0.77%
2021년 05월 05일,"3,042.90","3,063.20","3,080.70","3,022.70",-,0.61%
2021년 05월 04일,"3,024.30","3,029.30","3,036.10","2,969.10",-,-1.60%
2021년 05월 03일,"3,073.40","3,130.10","3,134.10","3,060.00",-,-1.15%
2021년 04월 30일,"3,109.00","3,145.50","3,169.40","3,101.40",-,-2.92%
2021년 04월 29일,"3,202.50","3,218.40","3,222.30","3,154.00",-,0.76%
2021년 04월 28일,"3,178.50","3,208.60","3,208.60","3,175.60",-,-1.46%
2021년 04월 27일,"3,225.60","3,266.30","3,266.30","3,220.30",-,-0.76%
2021년 04월 26일,"3,250.30","3,199.50","3,256.20","3,195.40",-,1.67%
2021년 04월 23일,"3,197.00","3,147.10","3,207.30","3,145.80",-,2.04%
2021년 04월 22일,"3,133.20","3,203.90","3,206.90","3,119.00",-,-2.31%
2021년 04월 21일,"3,207.30","3,128.20","3,209.30","3,113.70",-,2.75%
2021년 04월 20일,"3,121.40","3,158.90","3,171.20","3,106.20",-,-1.56%
2021년 04월 19일,"3,171.00","3,228.00","3,240.90","3,141.20",-,-2.52%
2021년 04월 16일,"3,253.10","3,274.10","3,275.60","3,248.50",-,-0.56%
2021년 04월 15일,"3,271.30","3,250.30","3,276.60","3,226.10",-,1.79%
2021년 04월 14일,"3,213.90","3,244.60","3,268.90","3,200.50",-,-1.19%
2021년 04월 13일,"3,252.70","3,275.50","3,284.90","3,223.50",-,-0.17%
2021년 04월 12일,"3,258.30","3,273.60","3,274.60","3,231.10",-,-1.10%
2021년 04월 09일,"3,294.50","3,272.40","3,295.80","3,262.90",-,-0.20%
2021년 04월 08일,"3,301.30","3,301.40","3,304.50","3,274.00",-,1.07%
2021년 04월 07일,"3,266.50","3,259.30","3,281.40","3,241.10",-,0.01%
2021년 04월 06일,"3,266.10","3,283.50","3,304.50","3,236.90",-,-1.19%
2021년 04월 05일,"3,305.40","3,282.90","3,314.20","3,255.30",-,2.01%
2021년 04월 01일,"3,240.20","3,187.30","3,242.30","3,180.50",-,3.69%
2021년 03월 31일,"3,124.90","3,073.50","3,147.10","3,072.50",-,2.64%
2021년 03월 30일,"3,044.60","3,034.80","3,055.80","3,013.30",-,-0.33%
2021년 03월 29일,"3,054.60","3,077.10","3,085.60","3,022.00",-,-1.66%
2021년 03월 26일,"3,106.30","2,961.20","3,110.70","2,958.80",-,4.95%
2021년 03월 25일,"2,959.90","2,902.40","2,971.80","2,881.00",-,0.20%
2021년 03월 24일,"2,954.00","3,049.80","3,057.40","2,952.30",-,-1.34%
2021년 03월 23일,"2,994.20","3,082.00","3,082.20","2,982.20",-,-2.71%
2021년 03월 22일,"3,077.60","3,055.40","3,112.40","3,040.70",-,2.20%
2021년 03월 19일,"3,011.40","2,976.60","3,039.40","2,945.50",-,1.18%
2021년 03월 18일,"2,976.20","3,058.60","3,069.30","2,974.70",-,-4.24%
2021년 03월 17일,"3,107.90","3,024.80","3,130.00","3,004.10",-,1.22%
2021년 03월 16일,"3,070.30","3,058.30","3,116.10","3,051.60",-,1.26%
2021년 03월 15일,"3,032.10","2,983.50","3,034.10","2,963.70",-,2.26%
2021년 03월 12일,"2,965.10","2,933.80","2,970.10","2,924.30",-,-1.07%
2021년 03월 11일,"2,997.10","2,965.20","3,015.00","2,948.40",-,4.09%
2021년 03월 10일,"2,879.30","2,969.90","2,976.10","2,876.20",-,-1.80%
2021년 03월 09일,"2,932.20","2,861.10","2,952.10","2,853.60",-,6.13%
2021년 03월 08일,"2,762.80","2,905.80","2,923.60","2,759.20",-,-5.41%
2021년 03월 05일,"2,920.80","2,898.00","2,928.10","2,764.80",-,3.15%
