날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 03월 29일,"1,346.00","1,354.10","1,354.10","1,354.10",0.00K,0.27%
2019년 03월 28일,"1,342.40","1,348.00","1,348.00","1,342.20",0.01K,-1.57%
2019년 03월 27일,"1,363.80","1,363.80","1,363.80","1,363.80",0.04K,-0.40%
2019년 03월 26일,"1,369.30","1,369.30","1,369.30","1,369.30",0.01K,-0.64%
2019년 03월 25일,"1,378.10","1,378.10","1,378.10","1,378.10",0.10K,0.64%
2019년 03월 22일,"1,369.30","1,368.20","1,368.20","1,368.20",0.03K,0.35%
2019년 03월 21일,"1,364.50","1,364.50","1,364.50","1,364.50",0.12K,0.37%
2019년 03월 20일,"1,359.50","1,359.50","1,359.50","1,359.50",0.02K,-0.38%
2019년 03월 19일,"1,364.70","1,364.70","1,364.70","1,364.70",0.00K,0.39%
2019년 03월 18일,"1,359.40","1,359.40","1,359.40","1,359.40",0.01K,-0.09%
2019년 03월 15일,"1,360.60","1,360.60","1,360.60","1,360.60",0.01K,0.57%
2019년 03월 14일,"1,352.90","1,352.90","1,352.90","1,352.90",0.23K,-1.11%
2019년 03월 13일,"1,368.10","1,368.10","1,368.10","1,368.10",0.02K,0.85%
2019년 03월 12일,"1,356.60","1,356.60","1,356.60","1,356.60",0.08K,0.49%
2019년 03월 11일,"1,350.00","1,350.00","1,350.00","1,350.00",0.00K,-0.63%
2019년 03월 08일,"1,358.50","1,358.50","1,358.50","1,358.50",0.00K,1.01%
2019년 03월 07일,"1,344.90","1,344.90","1,344.90","1,344.90",0.04K,-0.12%
2019년 03월 06일,"1,346.50","1,346.50","1,346.50","1,346.50",0.00K,0.22%
2019년 03월 05일,"1,343.50","1,343.50","1,343.50","1,343.50",0.00K,-0.21%
2019년 03월 04일,"1,346.30","1,346.30","1,346.30","1,346.30",0.02K,-0.88%
2019년 03월 01일,"1,358.30","1,358.30","1,358.30","1,358.30",0.13K,-1.24%
2019년 02월 28일,"1,375.30","1,374.00","1,374.00","1,374.00",0.01K,-0.38%
2019년 02월 27일,"1,380.50","1,380.50","1,380.50","1,380.50",0.00K,-0.53%
2019년 02월 26일,"1,387.90","1,387.90","1,387.90","1,387.90",0.00K,-0.08%
