날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 02일,"3,508.59","3,566.85","3,566.85","3,485.36",33.98B,-1.21%
2021년 03월 01일,"3,551.40","3,531.48","3,552.57","3,511.99",31.55B,1.21%
2021년 02월 26일,"3,509.08","3,514.56","3,550.41","3,500.70",33.33B,-2.12%
2021년 02월 25일,"3,585.05","3,595.54","3,608.56","3,568.47",36.62B,0.59%
2021년 02월 24일,"3,564.08","3,638.94","3,645.65","3,531.59",36.22B,-1.99%
2021년 02월 23일,"3,636.36","3,617.70","3,672.15","3,617.70",39.89B,-0.17%
2021년 02월 22일,"3,642.44","3,707.19","3,717.27","3,642.44",48.88B,-1.45%
2021년 02월 19일,"3,696.17","3,661.78","3,699.65","3,634.01",36.11B,0.57%
2021년 02월 18일,"3,675.36","3,721.09","3,731.69","3,663.66",34.03B,0.55%
2021년 02월 10일,"3,655.09","3,612.61","3,662.77","3,612.50",25.79B,1.43%
2021년 02월 09일,"3,603.49","3,539.77","3,604.01","3,528.68",25.38B,2.01%
2021년 02월 08일,"3,532.45","3,504.56","3,542.21","3,492.13",24.98B,1.03%
2021년 02월 05일,"3,496.33","3,509.49","3,536.54","3,492.96",29.01B,-0.16%
2021년 02월 04일,"3,501.86","3,503.78","3,524.72","3,465.77",29.88B,-0.44%
2021년 02월 03일,"3,517.31","3,531.15","3,544.01","3,508.51",29.74B,-0.46%
2021년 02월 02일,"3,533.68","3,510.81","3,535.50","3,495.57",26.45B,0.81%
2021년 02월 01일,"3,505.28","3,477.17","3,506.39","3,469.88",27.76B,0.64%
2021년 01월 29일,"3,483.07","3,521.72","3,531.60","3,446.55",29.37B,-0.63%
2021년 01월 28일,"3,505.18","3,534.67","3,549.54","3,496.88",27.09B,-1.91%
2021년 01월 27일,"3,573.34","3,567.55","3,578.80","3,546.49",26.41B,0.11%
2021년 01월 26일,"3,569.43","3,610.97","3,610.97","3,564.74",27.81B,-1.51%
