날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 08월 12일,385.25,409.75,410,385.25,248.13K,-6.09%
2019년 08월 09일,410.25,410.75,417,407.25,185.37K,-0.18%
2019년 08월 08일,411,407.25,412,405.5,184.79K,1.11%
2019년 08월 07일,406.5,404.75,407.5,400.5,167.53K,0.62%
2019년 08월 06일,404,405.75,408,400.75,113.07K,-0.31%
2019년 08월 05일,405.25,400,406.75,391,109.69K,1.44%
2019년 08월 02일,399.5,394.75,400,393.5,90.36K,1.72%
2019년 08월 01일,392.75,401.75,403,387.25,145.33K,-1.87%
2019년 07월 31일,400.25,410.75,413.75,400,151.79K,-2.67%
2019년 07월 30일,411.25,417,417,410.25,81.03K,-1.38%
2019년 07월 29일,417,413.25,419.5,412,90.11K,0.60%
2019년 07월 26일,414.5,418.25,419.5,413,120.75K,-0.96%
2019년 07월 25일,418.5,424,425.75,418,172.28K,-1.30%
2019년 07월 24일,424,425,430.5,421.5,93.16K,-0.35%
2019년 07월 23일,425.5,423.75,426.5,418.25,131.11K,0.77%
2019년 07월 22일,422.25,430.75,432.25,421,110.95K,-1.97%
2019년 07월 19일,430.75,425.5,434,423.75,114.52K,1.47%
2019년 07월 18일,424.5,435,436,423.25,156.00K,-2.64%
2019년 07월 17일,436,435.25,441.5,431.5,125.87K,0.17%
2019년 07월 16일,435.25,437.75,440.75,429,144.49K,-1.30%
2019년 07월 15일,441,459.25,460,439.75,164.47K,-1.89%
2019년 07월 12일,449.5,447.75,457,447.75,0.27K,0.39%
2019년 07월 11일,447.75,433.25,448,433.25,0.60K,3.11%
2019년 07월 10일,434.25,430,434.75,428,0.49K,0.58%
2019년 07월 09일,431.75,437.25,437.75,429.25,0.45K,-1.54%
2019년 07월 08일,438.5,440.75,442.75,432,2.08K,1.04%
2019년 07월 05일,434,433,435.5,427,2.13K,0.23%
2019년 07월 03일,433,417,433.75,417,3.47K,4.72%
2019년 07월 02일,413.5,412.5,415.5,408.25,6.53K,0.36%
2019년 07월 01일,412,424.25,424.75,410.25,13.48K,-1.96%
2019년 06월 28일,420.25,439,455,411,34.51K,-4.49%
2019년 06월 27일,440,443,445.5,438.5,141.13K,-0.73%
2019년 06월 26일,443.25,447,447.25,440.75,158.88K,-0.95%
2019년 06월 25일,447.5,451,453,446.5,158.43K,0.17%
2019년 06월 24일,446.75,442.25,447.75,440.25,172.09K,1.02%
2019년 06월 21일,442.25,452,454,441.75,251.09K,-1.72%
2019년 06월 20일,450,441.5,450.75,436.5,198.63K,2.04%
2019년 06월 19일,441,449.75,451.75,438.25,193.33K,-1.95%
2019년 06월 18일,449.75,455.5,458,442.75,221.47K,-1.10%
2019년 06월 17일,454.75,458.25,464.25,450.5,279.48K,0.39%
2019년 06월 14일,453,442,457.25,441.75,312.81K,2.49%
