날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 01월 14일,"13,112.60","13,174.80","13,220.20","13,098.40",1.21B,-0.12%
2021년 01월 13일,"13,129.00","13,088.00","13,171.10","13,051.10",1.27B,0.43%
2021년 01월 12일,"13,072.40","13,062.10","13,105.00","12,963.90",1.25B,0.28%
2021년 01월 11일,"13,036.40","13,048.80","13,138.30","12,999.50",1.24B,-1.25%
2021년 01월 08일,"13,202.00","13,160.20","13,208.10","13,036.50",1.33B,1.03%
2021년 01월 07일,"13,067.50","12,867.30","13,090.90","12,867.30",1.25B,2.56%
2021년 01월 06일,"12,740.80","12,666.20","12,909.60","12,650.00",1.45B,-0.61%
2021년 01월 05일,"12,819.00","12,665.70","12,828.30","12,665.60",1.21B,0.95%
2021년 01월 04일,"12,698.40","12,958.50","12,958.70","12,543.20",1.27B,-1.47%
2020년 12월 31일,"12,888.30","12,877.10","12,902.10","12,821.20",987.15M,0.14%
2020년 12월 30일,"12,870.00","12,906.50","12,924.90","12,857.80",954.01M,0.15%
2020년 12월 29일,"12,850.20","12,965.40","12,973.30","12,822.00",896.81M,-0.38%
2020년 12월 28일,"12,899.40","12,914.60","12,930.90","12,827.40",978.34M,0.74%
2020년 12월 24일,"12,804.70","12,791.50","12,833.60","12,767.60",584.09M,0.26%
2020년 12월 23일,"12,771.10","12,834.90","12,841.90","12,758.70",1.23B,-0.29%
2020년 12월 22일,"12,807.90","12,785.20","12,840.60","12,695.30",1.11B,0.51%
2020년 12월 21일,"12,742.50","12,596.10","12,751.30","12,525.20",1.11B,-0.10%
2020년 12월 18일,"12,755.60","12,804.90","12,809.60","12,654.60",2.81B,-0.07%
2020년 12월 17일,"12,764.70","12,730.80","12,765.30","12,696.40",1.02B,0.84%
2020년 12월 16일,"12,658.20","12,611.00","12,687.30","12,566.40",985.82M,0.50%
2020년 12월 15일,"12,595.10","12,543.30","12,596.10","12,465.40",915.62M,1.25%
2020년 12월 14일,"12,440.00","12,447.40","12,543.00","12,432.70",983.31M,0.50%
2020년 12월 11일,"12,377.90","12,336.80","12,383.50","12,246.80",876.15M,-0.23%
2020년 12월 10일,"12,405.80","12,247.50","12,431.60","12,214.70",893.26M,0.54%
2020년 12월 09일,"12,339.00","12,591.70","12,607.10","12,290.80",1.07B,-1.94%
2020년 12월 08일,"12,582.80","12,503.20","12,594.50","12,453.20",973.77M,0.50%
2020년 12월 07일,"12,519.90","12,461.00","12,536.20","12,460.60",931.78M,0.45%
2020년 12월 04일,"12,464.20","12,399.30","12,464.20","12,376.40",1.00B,0.70%
2020년 12월 03일,"12,377.20","12,369.30","12,439.00","12,357.00",928.31M,0.23%
2020년 12월 02일,"12,349.40","12,285.80","12,360.10","12,217.30",985.81M,-0.05%
2020년 12월 01일,"12,355.10","12,313.40","12,405.80","12,263.90",1.28B,1.28%
2020년 11월 30일,"12,198.70","12,224.30","12,244.70","12,027.20",1.76B,-0.06%
2020년 11월 27일,"12,205.80","12,159.20","12,236.20","12,154.60",655.99M,0.92%
2020년 11월 25일,"12,094.40","12,053.90","12,114.80","12,021.00",899.55M,0.47%
2020년 11월 24일,"12,037.30","11,939.30","12,049.90","11,863.50",1.27B,1.32%
2020년 11월 23일,"11,880.60","11,916.80","11,949.30","11,796.50",1.05B,0.22%
2020년 11월 20일,"11,855.00","11,892.70","11,935.50","11,852.50",1.12B,-0.42%
2020년 11월 19일,"11,904.70","11,779.00","11,912.60","11,761.00",1.08B,0.87%
2020년 11월 18일,"11,801.60","11,896.10","11,942.50","11,800.00",963.95M,-0.82%
2020년 11월 17일,"11,899.30","11,913.30","11,950.20","11,852.40",849.41M,-0.21%
2020년 11월 16일,"11,924.10","11,847.10","11,937.70","11,814.90",935.40M,0.80%
2020년 11월 13일,"11,829.30","11,794.90","11,849.80","11,715.50",787.30M,1.02%
2020년 11월 12일,"11,709.60","11,802.50","11,847.80","11,666.40",829.44M,-0.65%
2020년 11월 11일,"11,786.40","11,656.70","11,793.60","11,638.90",819.26M,2.01%
2020년 11월 10일,"11,553.90","11,622.40","11,665.90","11,424.60",1.03B,-1.37%
2020년 11월 09일,"11,713.80","12,046.70","12,108.10","11,703.50",1.41B,-1.53%
2020년 11월 06일,"11,895.20","11,869.90","11,920.50","11,737.10",893.72M,0.04%
2020년 11월 05일,"11,890.90","11,816.30","11,924.30","11,784.20",828.68M,2.59%
2020년 11월 04일,"11,590.80","11,443.80","11,663.30","11,394.20",852.15M,3.85%
2020년 11월 03일,"11,160.60","11,038.70","11,213.90","11,004.80",710.54M,1.85%
2020년 11월 02일,"10,957.60","11,010.50","11,071.10","10,830.90",715.79M,0.42%
2020년 10월 30일,"10,911.60","11,103.50","11,129.80","10,822.60",873.94M,-2.45%
2020년 10월 29일,"11,185.60","11,064.50","11,287.60","11,030.20",733.27M,1.64%
2020년 10월 28일,"11,004.90","11,230.90","11,250.00","10,999.10",856.55M,-3.73%
2020년 10월 27일,"11,431.30","11,409.30","11,465.10","11,361.90",676.35M,0.64%
2020년 10월 26일,"11,358.90","11,440.60","11,545.60","11,221.10",690.96M,-1.64%
2020년 10월 23일,"11,548.30","11,536.00","11,548.80","11,434.90",657.56M,0.37%
2020년 10월 22일,"11,506.00","11,527.00","11,548.80","11,369.30",750.16M,0.19%
2020년 10월 21일,"11,484.70","11,530.40","11,613.80","11,476.10",753.85M,-0.28%
