회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본금(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일
(주)광주신세계,37710,2019,-27.77,9.82,34.47,3.87,3.49,12.09,0.02,8000000,24927348,23950581,2002-02-07
(주)광주신세계,37710,2020,-0.12,-10.44,31.94,3.26,2.91,11.78,0.02,8000000,23073997,21451104,2002-02-07
(주)광주신세계,37710,2021,12.42,19.17,35.15,3.66,3.28,11.9,0.01,8000000,28545417,25564324,2002-02-07
(주)광진윈텍,90150,2018,-5.29,0,1.16,2.5,0.9,181.5,36.21,4829197,501745,867509,2006-10-20
(주)광진윈텍,90150,2019,0.87,74.36,2.85,4.48,1.62,172.35,31.38,4829197,1245511,1512588,2006-10-20
(주)광진윈텍,90150,2020,-16.41,-46.58,0.79,2.27,0.92,123.31,32.21,4829197,289097,808048,2006-10-20
(주)광진윈텍,90150,2021,12.59,222.16,4.68,6.58,2.91,128.37,33.75,4829197,1925707,2603215,2006-10-20
(주)구영테크,53270,2018,-1.11,135.2,0.58,6.04,2.18,205.86,46.01,9897087,218731,2851388,2002-02-07
(주)구영테크,53270,2019,21.28,-30.61,3.08,3.71,1.32,159.89,44.44,13197087,1417638,1978610,2002-02-07
(주)구영테크,53270,2020,-15.77,-76.45,0.25,0.79,0.31,152.28,48.46,13197087,97891,466008,2002-02-07
(주)구영테크,53270,2021,35.63,652.18,5.21,5.84,2.39,136.84,44.27,13197087,2741431,3505201,2002-02-07
(주)국동,5320,2018,-16.13,-29.95,0.46,2.17,1.11,89.36,35.65,6870240,286356,962247,1996-12-24
(주)국동,5320,2019,-8.62,-31.8,0.63,1.28,0.74,63.45,31.2,13798078,352429,656232,1996-12-24
(주)국동,5320,2020,66.87,2208.14,20.33,21.12,11.25,105.73,35.54,19012895,19106699,15146739,1996-12-24
(주)국동,5320,2021,-48.11,0,-5.99,-3.24,-1.83,46.12,24.32,26614403,-2920600,-2582822,1996-12-24
