ticker,company_name,listingdate,fiscal_year,market_cap,sales_growth_rate,net_profit_growth_rate,operating_profit_rate,roe,roa,debt_ratio,20_06_close_price,20_06_rate_of_return,20_09_close_price,20_09_rate_of_return,20_12_close_price,20_12_rate_of_return,21_03_close_price,21_03_rate_of_return,21_06_close_price,PER,PER_cal,PBR,PCR,PSR,DYR
21050,(주)서원,1996-01-30,2021,1.34116E+11,40.41,322.18,8.27,3.09,1.33,163.04,4125,-0.315151515,3475,-0.18705036,2770,1.985559567,2500,13,2825,0,57.2815534,1.77,0,0.69,0
30790,비케이탑스(주),2010-11-02,2021,1.33904E+11,-20.79,0,-84.37,-67.07,-18.72,1626.6,6262.114253,0.628842846,4847.389905,1.104225201,15831.80168,-35.57271495,12650,-19.36758893,10200,0,-8.617861935,5.78,0,17.14,0
230980,(주)에이트원,2016-03-02,2021,1.33675E+11,-45.63,0,-194.22,-6.7,-3.88,76.96,818.2000943,1.823270269,1148.577419,1.01118354,1474.666125,56.64562721,2312.111713,-0.091332656,2310,0,-24.47761194,1.64,17.55,5.42,0
69510,에스텍(주),2003-11-14,2021,1.33648E+11,43.77,52.29,5.19,7.47,5.69,33.53,8860,0.38261851,9070,0.350606395,11300,8.407079646,10850,12.90322581,12250,12.89,16.06425703,1.2,12.21,0.68,3.27
23350,(주)한국종합기술,2011-04-28,2021,1.3359E+11,-0.38,0,1.78,1.9,0.68,147.28,3800,2.210526316,4180,1.918660287,4920,147.9674797,7040,73.29545455,12200,20.64,51.05263158,0.97,3.93,0.46,0.82
2800,신신제약(주),2017-02-28,2021,1.335E+11,11.59,0,-3.5,-2.07,-0.9,114.67,7270,0.21045392,8460,0.040189125,9140,-3.719912473,7800,12.82051282,8800,228.11,-113.0434783,2.34,61.53,1.99,0
25440,(주)대성엘텍,1995-05-22,2021,1.33243E+11,18.97,0,-2.41,-15.27,-4.7,248.14,686.1869609,0.923673977,745.426123,0.770799224,992.2559651,33.03019044,1318.038465,0.148822305,1320,0,-25.14734774,3.84,28.39,0.45,0
53690,(주)한미글로벌건축사사무소,2009-06-23,2021,1.33134E+11,15.06,5.8,7.45,4.83,3.4,45.38,6830,0.778916545,8170,0.487148103,10450,16.26794258,10700,13.55140187,12150,16.73,26.5010352,1.28,9.03,1.14,2.47
238490,(주)힘스,2017-07-20,2021,1.32919E+11,-61.43,0,-10.04,-0.7,-0.53,28.3,6125,0.918367347,12850,-0.085603113,12800,-8.203125,13100,-10.30534351,11750,7.73,-244.2857143,1.71,4.06,1.25,1.28
68940,(주)아이씨케이,2010-10-19,2021,1.32823E+11,-16.27,0,-10.59,-26.46,-10.95,119.15,2984.933877,0.2831105,4315.567051,-0.112515237,3812.142462,0.468438375,4000,-4.25,3830,0,-29.21390779,7.73,0,4.72,0
306620,(주)네온테크,2018-10-31,2021,1.32475E+11,15.78,0,-5.76,-8.68,-4.17,89.19,2847.836703,0.188621523,2410.091256,0.404511133,2747.599105,23.19846785,3916.992496,-13.58165726,3385,0,-52.30414747,4.54,73.24,3.72,0
15230,대창단조(주),1989-07-25,2021,1.32004E+11,41.64,15.48,6.29,4.7,4.18,15.27,5320,0.736842105,6470,0.42812983,6940,33.14121037,8300,11.3253012,9240,16.23,17.65957447,0.83,356.19,0.68,1.95
7680,(주)대원,2017-12-01,2021,1.31845E+11,66.84,246.27,8.09,3.95,2.46,66.54,7955.533817,0.326120942,10289.75389,0.025291773,9145.701327,15.35474014,9320.48898,13.19148623,10550,29.32,11.39240506,0.45,5.42,0.86,2.37
95500,미래나노텍(주),2007-10-01,2021,1.31692E+11,43.52,0,8.47,7.45,4.3,71.16,2595.281273,0.760888134,2307.856894,0.980192104,2712.592991,68.47348698,4042.03384,13.06189361,4570,18.85,8.993288591,0.67,0,0.44,0
250000,(주)보라티알,2017-06-08,2021,1.31639E+11,22.64,4153.19,8.13,4.71,2.94,59.47,8460,1.304964539,12450,0.56626506,16700,16.76646707,15750,23.80952381,19500,137.58,52.22929936,2.46,52.6,2.98,0.77
53260,금강철강(주),2002-01-04,2021,1.31602E+11,49.78,155.77,5.16,4.86,3.97,27.57,2965,1.370994941,3145,1.235294118,3495,101.1444921,7000,0.428571429,7030,51.65,25.10288066,1.22,47.62,0.76,1.42
36710,(주)심텍홀딩스,2000-01-04,2021,1.31547E+11,121.15,236.44,48.17,3.5,3.06,6.23,1400.813284,1.309372731,2330,0.388412017,2440,32.58196721,2595,24.6628131,3235,7.11,28.28571429,0.99,0,30.91,0.93
23460,씨앤에이치(주),1994-10-07,2021,1.31502E+11,1049.14,0,89.82,26.41,18.89,42.73,1410,1.507092199,1550,1.280645161,2135,65.57377049,2730,29.48717949,3535,4.94,3.975766755,1.05,42.39,3.26,1.41
73570,(주)더블유아이,2004-01-06,2021,1.3147E+11,-37.69,0,-30.93,-11.04,-7.66,54.14,1171.28185,0.38736889,1356.085805,0.198301755,1284.248517,26.53314207,1448.030922,12.22136045,1625,0,-28.44202899,3.14,15.83,4.86,0
4650,(주)창해에탄올,2014-07-30,2021,1.3143E+11,-8.81,28.01,18.75,6.67,4.77,35.96,13300,0.07518797,12500,0.144,13500,5.925925926,13100,9.160305344,14300,11.54,16.64167916,1.11,11.81,1.3,4.2
40160,(주)누리플렉스,2000-08-29,2021,1.31405E+11,-36.2,-50.63,-0.69,1.52,0.95,63.17,6290,0.73290938,7600,0.434210526,8120,34.2364532,7120,53.08988764,10900,43.25,131.5789474,2,18.22,1.95,0
228340,동양파일(주),2016-04-06,2021,1.314E+11,68.94,0,16.15,-2.8,-2.53,15.92,2070,2.173913043,2650,1.479245283,3200,105.3125,7100,-7.464788732,6570,0,-40.71428571,1.14,24.78,2.8,0
24060,흥구석유(주),1994-12-07,2021,1.314E+11,15.22,-60.42,-1.11,0.22,0.2,5.34,6780,0.292035398,6260,0.399361022,7220,21.32963989,7250,20.82758621,8760,27.42,750,1.65,76.35,1.14,1.71
65710,서호전기(주),2002-07-16,2021,1.31325E+11,13.01,13.72,11,6.94,5.1,39.16,18950,0.345646438,22900,0.113537118,21700,17.51152074,21350,19.43793911,25500,20.21,25.7925072,1.79,15.3,2.24,3.92
290380,(주)대유,2018-08-10,2021,1.31041E+11,5.67,-12.05,35.35,7.72,5.68,50.01,8690.344896,0.064399642,7763.800771,0.19142676,8211.097935,12.65241352,9666.666667,-4.310344828,9250,16.82,16.4507772,1.27,13.78,2.49,0
46940,우원개발(주),2002-06-18,2021,1.31039E+11,-1.64,38.72,5.57,6.37,3.76,60.65,6120,0.184640523,5750,0.260869565,6290,15.26232114,7160,1.25698324,7250,14.3,22.91993721,1.46,10.42,0.78,0
41440,(주)현대에버다임,2003-11-14,2021,1.30966E+11,18.43,0,0.08,0.11,0.08,43.88,3450,1.11884058,4070,0.796068796,4300,70,6200,17.90322581,7310,0,700,0.77,3.83,0.63,0.27
