회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일,보통주자본금(IFRS),우선주자본금(IFRS)
압타바이오(주),293780,2019/06,,,,,,,,78932133,-2543627,-2509640,2019/06/12,5440867,0
압타바이오(주),293780,2020/06,0,0,-1093.31,-1.67,-1.62,3.08,0.1,74973601,-2894225,-1249936,2019/06/12,5508117,0
애경산업(주),018250,2019/06,0,0,8.57,6.65,5.15,29.22,1.2,318559900,28686224,21199121,2018/03/22,26346535,0
애경산업(주),018250,2021/06,-1.66,80.07,4.74,3.15,2.49,26.48,2.67,336833411,13107381,10507041,2018/03/22,26409935,0
애경산업(주),018250,2020/06,-16.09,-72.48,4.22,1.8,1.41,26.06,3.38,330747624,11861282,5834953,2018/03/22,26409935,0
애경산업(주),018250,2018/06,,,,,,,,284735834,42968732,33297214,2018/03/22,26218335,0
애경케미칼(주),161000,2021/06,40.02,101.86,12.26,11.82,9,39.9,8.51,424038782,59942015,47170677,2012/09/17,16020000,0
애경케미칼(주),161000,2018/06,8.72,0.72,8.86,10.35,7.37,33.2,4.2,315195314,36675941,29830520,2012/09/17,16020000,0
애경케미칼(주),161000,2019/06,-1.07,-38.24,5.46,5.69,4.41,24.98,2.46,332433482,22359533,18423068,2012/09/17,16020000,0
애경케미칼(주),161000,2020/06,-14.67,26.84,6.96,6.61,5.37,21.49,1.52,374296431,24324220,23368095,2012/09/17,16020000,0
애니젠(주),196300,2019/06,69.98,0,-86.11,-13.99,-8.68,82.4,30.12,18418670,-2539438,-3147587,2016/12/07,2508082,0
애니젠(주),196300,2021/06,-5.9,0,-28.43,-21.66,-7.98,209.38,49.2,9806716,-1306057,-2508010,2016/12/07,2513083,0
애니젠(주),196300,2020/06,65.54,0,-13.29,-10.27,-4.94,143.54,40.04,13350113,-648926,-1631979,2016/12/07,2508083,0
애니젠(주),196300,2018/06,-28.68,0,-73.71,-7.35,-5.72,46.67,25.15,26566947,-1278748,-1843353,2016/12/07,2508083,0
애머릿지코퍼레이션,900100,2019/06,-61.18,0,-8.12,-15.45,-11.3,24.24,18.02,70035967,-467033,-10535760,2010/04/21,320441,0
애머릿지코퍼레이션,900100,2018/06,-25.52,0,2.31,-2.62,-1.73,49.86,25.78,66365409,342929,-1546521,2010/04/21,267476,0
애머릿지코퍼레이션,900100,2021/06,54.52,0,6.51,-1.57,-0.83,61.1,27.86,39685382,1231072,-797609,2010/04/21,518628,0
애머릿지코퍼레이션,900100,2020/06,112.63,0,-8.5,-4.21,-2.57,108.57,46.11,61891403,-1040020,-2779781,2010/04/21,372582,0
앱클론(주),174900,2020/06,-89.1,0,-259.78,-12.93,-10.02,34.63,16.86,31931900,-3614990,-3546556,2017/09/18,3598000,197304
앱클론(주),174900,2021/06,35.14,0,-334.23,-22.74,-16.04,51.49,20.24,23301774,-6285480,-6279369,2017/09/18,7639035,0
앱클론(주),174900,2018/06,-25.77,0,-37.9,-4.12,-3.3,22.68,9.76,16710266,-681703,-589090,2017/09/18,3400000,0
앱클론(주),174900,2019/06,609.43,0,46.67,20.95,17.19,21.26,7.32,22933112,5955941,4151712,2017/09/18,3588000,0
얍엑스(주),060230,2020/06,5.71,0,7.05,-4.37,-3.1,27.75,16.51,54936924,719330,-2441983,2002/06/25,37446758,0
얍엑스(주),060230,2019/06,-38.81,0,5.17,3.55,2.01,54.05,29.72,56848648,499423,1611974,2002/06/25,35707001,0
얍엑스(주),060230,2021/06,4.55,0,3.15,3.25,2.41,41.44,24.2,61163121,336062,1889512,2002/06/25,39329366,0
얍엑스(주),060230,2018/06,-23.2,0,0.38,-8.53,-3.68,114.66,45.34,33909377,60366,-2406760,2002/06/25,25361497,0
어보브반도체(주),102120,2018/06,-8.67,63.27,7.61,5.68,4.67,20.96,0,77627826,3937671,4565135,2009/06/05,8729827,0
어보브반도체(주),102120,2021/06,13.34,-47.19,8.8,4.53,3.51,17.51,0.46,101447903,6309281,4479371,2009/06/05,8729827,0
어보브반도체(주),102120,2019/06,6.16,-0.38,8.71,5.71,4.75,19.51,0.61,81793135,4780515,4547858,2009/06/05,8729827,0
어보브반도체(주),102120,2020/06,15.24,86.51,13.79,9.53,7.25,41.66,18.26,96231373,8723336,8482045,2009/06/05,8729827,0
에브리봇(주),270660,2021/06,,,,,,,,20861668,4156470,3821978,2021/07/28,2614212,0
에스넷시스템(주),038680,2020/06,26.44,0,-1.76,-0.97,-0.56,90.65,10.62,62734486,-1135105,-621853,2000/04/27,8037608,0
에스넷시스템(주),038680,2018/06,51.71,0,-0.9,0.54,0.31,86.89,4.86,58411013,-521869,308904,2000/04/27,8037608,0
에스넷시스템(주),038680,2021/06,6.91,0,-6.76,-13.77,-5.93,181.88,30.47,52122840,-4661191,-7907370,2000/04/27,8037608,0
에스넷시스템(주),038680,2019/06,-12.17,484.1,3.37,2.92,1.7,58.39,1.82,65258317,1721160,1804310,2000/04/27,8037608,0
에스디바이오센서(주),137310,2021/06,,,,,,,,1397768498,961370476,716736958,2021/07/16,46659288,0
에스디엔(주),099220,2018/06,15.68,-34.74,3.22,1.02,0.54,86.59,37.16,54497912,740143,520338,2009/05/19,18663784,0
에스디엔(주),099220,2021/06,-25.77,0,-8.23,-3.25,-1.89,71.89,35.48,85385037,-2680282,-2759770,2009/05/19,24089357,0
에스디엔(주),099220,2020/06,78.75,286.52,3.7,9.59,5.62,71.7,32.36,84310700,1621662,7215379,2009/05/19,24089357,0
에스디엔(주),099220,2019/06,6.94,258.76,4.98,3.09,1.75,68.9,32.67,66236357,1222149,1866769,2009/05/19,21207734,0
에스맥(주),097780,2019/06,95.02,0,8.54,2.48,2.11,24.53,12.76,224841553,3524291,5454964,2008/01/23,44187655,0
에스맥(주),097780,2018/06,-64.67,0,-15.96,-0.88,-0.67,10.37,6.49,215824599,-3377712,-1427619,2008/01/23,44187655,0
에스맥(주),097780,2021/06,-81.9,0,-37.37,-3.06,-2.73,10.74,6.69,283167804,-5558203,-8340644,2008/01/23,56652028,0
에스맥(주),097780,2020/06,99.08,53.64,5.57,3.45,2.91,13.47,6.19,261470631,4578538,8380874,2008/01/23,52229120,0
에스브이인베스트먼트(주),289080,2019/09,0,0,-29.27,-3.15,-2.78,13.17,,54361441,,-1712536,2018/07/06,26617000,0
에스브이인베스트먼트(주),289080,2018/09,,,,,,,,60268683,,8501464,2018/07/06,13308500,0
에스브이인베스트먼트(주),289080,2021/09,30.51,185.35,31.08,5.28,4.57,16.88,,61252832,,3017748,2018/07/06,26617000,0
에스비아이인베스트먼트(주),019550,2018/06,-5.57,0,-22.74,-1.97,-1.81,15.14,,80018685,,-1630195,1989/09/06,83533288,0
에스비아이인베스트먼트(주),019550,2019/06,104.5,0,49.34,7.39,6.4,15.68,,88814958,,6235908,1989/09/06,83533288,0
에스비아이인베스트먼트(주),019550,2021/06,40.82,83.79,56.34,8.24,7.38,10.36,,118618546,,8997329,1989/09/06,83533288,0
에스비아이인베스트먼트(주),019550,2020/06,-10.37,-21.5,43.18,5.19,4.54,13.35,,99747714,,4895358,1989/09/06,83533288,0
에스비아이핀테크솔루션즈(주),950110,2018/09,,,,,,,,,,,2012/12/17,,
에스비아이핀테크솔루션즈(주),950110,2019/09,,,,,,,,,,,2012/12/17,,
에스비아이핀테크솔루션즈(주),950110,2020/09,,,,,,,,,,,2012/12/17,,
에스비아이핀테크솔루션즈(주),950110,2021/09,,,,,,,,,,,2012/12/17,,
에스비에스미디어홀딩스(주),101060,2019/06,25.51,1255.89,48.85,3.44,3.38,3.35,0,550602947,1483373,18681520,2008/03/24,69948095,0
에스비에스미디어홀딩스(주),101060,2018/06,-71.42,-77.25,40.74,0.26,0.26,0.22,0,534328707,985742,1377806,2008/03/24,69948095,0
에스비에스미디어홀딩스(주),101060,2021/06,63.11,-20.23,74.77,1.21,1.21,0.33,0.06,413779992,5059651,5513341,2008/03/24,69948095,0
에스비에스미디어홀딩스(주),101060,2020/06,36.62,-63,46.25,1.32,1.3,0.62,0.03,495324497,1918646,6911616,2008/03/24,69948095,0
에스씨아이평가정보(주),036120,2019/06,2.64,68.58,17.93,16.98,13.17,29.17,3.02,22115638,4599928,3424391,1999/12/07,17750000,0
에스씨아이평가정보(주),036120,2021/06,0.95,-3.48,27.61,18.08,14.18,24.89,1.97,30464339,7572538,5104073,1999/12/07,17750000,0
에스씨아이평가정보(주),036120,2020/06,5.86,54.43,25.68,21.98,16.91,30.61,3.15,26004325,6975188,5288345,1999/12/07,17750000,0
에스씨아이평가정보(주),036120,2018/06,27.73,285.3,11.69,11.98,9.26,28.72,0,18209366,2923463,2031334,1999/12/07,17750000,0
에스씨엠생명과학(주),298060,2020/06,,,,,,,,58373660,-6153252,-13077012,2020/06/17,5862387,0
